Date,Open,High,Low,Close*,Adj Close**,Volume,Year,Month,Day,DayOfWeek,Daily_Return,Volatility,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_upper,BB_lower,Price_Momentum,Volume_MA5,Volume_MA20
2023-02-09,34105.61,34252.57,33607.13,33699.88,33699.88,347520000,2023,2,9,3,-0.5001288778884172,0.9644472653851087,34006.479999999996,33282.239,33092.583000000006,60.943555763711714,308.6695775182525,208.25140586502917,33282.239,34416.275209278014,32148.202790721985,8.99193841561452e-05,298924000.0,299772500.0
2023-02-08,34132.9,34161.65,33899.79,33949.01,33949.01,324090000,2023,2,8,2,0.7392607926200556,0.952379213528055,33970.672,33366.9465,33095.384,70.83628758373052,313.02879039544496,229.20688277111233,33366.9465,34428.648196082366,32305.24480391763,-0.005246124522203854,310236000.0,300184000.0
2023-02-07,33769.78,34240.0,33634.1,34156.69,34156.69,361620000,2023,2,7,1,0.6117409609293523,0.8964787094845469,33984.156,33434.861,33102.7854,72.78712731404798,329.4439139841852,249.25428901372692,33434.861,34517.00817564857,32352.71382435143,0.0019777484234777543,324796000.0,306127500.0
2023-02-06,33874.44,33962.84,33683.58,33891.02,33891.02,296400000,2023,2,6,0,-0.7777978486791515,0.9231799351293648,33913.174,33486.589,33102.6656,65.06847460889894,317.3573707675605,262.87490536449366,33486.589,34551.08487951835,32422.093120481655,-0.010363567291062137,323556000.0,305977500.0
2023-02-03,33926.3,34179.58,33813.86,33926.01,33926.01,425150000,2023,2,3,4,0.10324268788606261,0.8438573547535468,33924.522000000004,33511.3175,33101.6532,66.8687507794888,307.06247370875644,271.71241903334624,33511.3175,34593.254257269815,32429.380742730176,0.0016752649230409311,350956000.0,310775500.0
2023-02-02,34129.3,34145.14,33814.78,34053.94,34053.94,429910000,2023,2,2,3,0.377085310061509,0.8450600759132185,33995.334,33544.466,33102.9884,64.61870807413037,305.702625885373,278.5104604037516,33544.466,34651.217352542044,32437.714647457957,0.01050626886505257,367434000.0,317268500.0
2023-02-01,34039.6,34334.7,33581.42,34092.96,34092.96,370120000,2023,2,1,2,0.11458292344439513,0.7912303345143729,34024.123999999996,33598.9355,33107.1182,67.41486762726211,304.26613399086636,283.66159512117457,33598.9355,34700.819704375186,32497.051295624813,0.004240182556133343,376640000.0,319902000.0
2023-01-31,33803.56,34095.23,33664.91,34086.04,34086.04,360240000,2023,1,31,1,-0.020297445572337036,0.7411115498380325,34009.994,33670.1455,33108.2452,66.31627072266164,299.1212342559593,286.75352294813155,33670.1455,34698.67662790648,32641.614372093514,-0.0020684088534340672,376364000.0,323273500.0
2023-01-30,33909.21,34055.29,33695.18,33717.09,33717.09,343920000,2023,1,30,0,-1.0824079300499667,0.7950979534172752,33975.208,33723.16499999999,33109.657,47.89459125102765,262.2496320789651,281.85274477429823,33723.16499999999,34634.36120535457,32811.968794645414,-0.005132037926270705,385868000.0,325281500.0
2023-01-27,33952.93,34164.33,33830.85,33978.08,33978.08,441260000,2023,1,27,4,0.7740584967445452,0.7974850865466196,33985.621999999996,33777.6145,33115.5228,55.14325321784803,251.19273997928394,275.7207438152954,33777.6145,34605.27176223191,32949.957237768096,0.0015348106069650314,389090000.0,335161500.0
2023-01-26,33771.66,33953.79,33635.6,33949.41,33949.41,327000000,2023,1,26,3,-0.08437792835851443,0.7946161002936486,33964.716,33834.239,33122.7806,46.168891328964136,237.3802719242085,268.05264943707806,33834.239,34529.528666887076,33138.94933311293,-0.0030695420265614004,368508000.0,337655500.0
2023-01-25,33538.36,33773.09,33273.21,33743.84,33743.84,341720000,2023,1,25,2,-0.6055186231513465,0.7860583684936681,33894.892,33863.735499999995,33127.9516,43.086505245714044,207.45460297024692,255.93304014371185,33863.735499999995,34483.44769719016,33244.02330280983,-0.010240237280658593,362828000.0,340335500.0
2023-01-24,33444.72,33782.92,33310.56,33733.96,33733.96,299310000,2023,1,24,1,-0.029279418110084166,0.7804865796863362,33824.476,33898.179,33132.9764,39.11373833166779,180.85626287275954,240.9176846895214,33898.179,34389.60857235519,33406.749427644805,-0.010329155278818059,350642000.0,339205500.0
2023-01-23,33439.56,33782.88,33316.25,33629.56,33629.56,355220000,2023,1,23,0,-0.3094804167669607,0.7850032719560713,33806.969999999994,33923.177500000005,33137.52,44.235495553557,149.62786236477405,222.6597202245719,33923.177500000005,34283.31431113088,33563.04068886913,-0.002596012882487786,352902000.0,339550500.0
2023-01-20,33073.46,33381.95,32948.93,33375.49,33375.49,367330000,2023,1,20,4,-0.7554960576350078,0.6443248503779778,33686.452000000005,33900.6175,33133.006799999996,42.504401835600206,103.18831367772509,198.76543891520254,33900.6175,34335.06589096921,33466.169109030794,-0.017734668939504594,338116000.0,342772000.0
